"variable","seg100"
"intercept",3.44609744549283
"(Intercept)",0
"CRASH_DATE_EST_IY",0
"POSTED_SPEED_LIMIT",-0.0249678710047139
"TRAFFIC_CONTROL_DEVICEDELINEATORS",0
"TRAFFIC_CONTROL_DEVICEFLASHING CONTROL SIGNAL",0
"TRAFFIC_CONTROL_DEVICELANE USE MARKING",0
"TRAFFIC_CONTROL_DEVICENO CONTROLS",0
"TRAFFIC_CONTROL_DEVICENO PASSING",0
"TRAFFIC_CONTROL_DEVICEOTHER",0
"TRAFFIC_CONTROL_DEVICEOTHER RAILROAD CROSSING",0
"TRAFFIC_CONTROL_DEVICEOTHER REG. SIGN",0
"TRAFFIC_CONTROL_DEVICEOTHER WARNING SIGN",0
"TRAFFIC_CONTROL_DEVICEPEDESTRIAN CROSSING SIGN",0
"TRAFFIC_CONTROL_DEVICEPOLICE/FLAGMAN",0
"TRAFFIC_CONTROL_DEVICERAILROAD CROSSING GATE",0
"TRAFFIC_CONTROL_DEVICERR CROSSING SIGN",0
"TRAFFIC_CONTROL_DEVICESCHOOL ZONE",0
"TRAFFIC_CONTROL_DEVICESTOP SIGN/FLASHER",-0.0237372039787552
"TRAFFIC_CONTROL_DEVICETRAFFIC SIGNAL",0.0313671820727297
"TRAFFIC_CONTROL_DEVICEUNKNOWN",0
"TRAFFIC_CONTROL_DEVICEYIELD",0
"DEVICE_CONDITIONFUNCTIONING PROPERLY",0
"DEVICE_CONDITIONMISSING",0
"DEVICE_CONDITIONNO CONTROLS",0
"DEVICE_CONDITIONNOT FUNCTIONING",0
"DEVICE_CONDITIONOTHER",0
"DEVICE_CONDITIONUNKNOWN",0
"DEVICE_CONDITIONWORN REFLECTIVE MATERIAL",0
"WEATHER_CONDITIONBLOWING SNOW",0
"WEATHER_CONDITIONCLEAR",0
"WEATHER_CONDITIONCLOUDY/OVERCAST",0
"WEATHER_CONDITIONFOG/SMOKE/HAZE",0
"WEATHER_CONDITIONFREEZING RAIN/DRIZZLE",0
"WEATHER_CONDITIONOTHER",0
"WEATHER_CONDITIONRAIN",0
"WEATHER_CONDITIONSEVERE CROSS WIND GATE",0
"WEATHER_CONDITIONSLEET/HAIL",0
"WEATHER_CONDITIONSNOW",0
"WEATHER_CONDITIONUNKNOWN",0
"LIGHTING_CONDITIONDARKNESS, LIGHTED ROAD",-0.224150320437316
"LIGHTING_CONDITIONDAWN",0
"LIGHTING_CONDITIONDAYLIGHT",0.0868734105289181
"LIGHTING_CONDITIONDUSK",0
"LIGHTING_CONDITIONUNKNOWN",0.126749592800802
"FIRST_CRASH_TYPEANIMAL",0
"FIRST_CRASH_TYPEFIXED OBJECT",-1.08343637323405
"FIRST_CRASH_TYPEHEAD ON",-0.545618964003738
"FIRST_CRASH_TYPEOTHER NONCOLLISION",-1.05730670512945
"FIRST_CRASH_TYPEOTHER OBJECT",-0.698622212852034
"FIRST_CRASH_TYPEOVERTURNED",-2.0610386824231
"FIRST_CRASH_TYPEPARKED MOTOR VEHICLE",0.611464882567164
"FIRST_CRASH_TYPEPEDALCYCLIST",-2.21961208873413
"FIRST_CRASH_TYPEPEDESTRIAN",-3.36511801922978
"FIRST_CRASH_TYPEREAR END",0.26520439930716
"FIRST_CRASH_TYPEREAR TO FRONT",0.484000743578922
"FIRST_CRASH_TYPEREAR TO REAR",0.0373134758274774
"FIRST_CRASH_TYPEREAR TO SIDE",0.213151718642386
"FIRST_CRASH_TYPESIDESWIPE OPPOSITE DIRECTION",0.155601318782375
"FIRST_CRASH_TYPESIDESWIPE SAME DIRECTION",0.932558580818642
"FIRST_CRASH_TYPETRAIN",0
"FIRST_CRASH_TYPETURNING",0.160565537866909
"TRAFFICWAY_TYPECENTER TURN LANE",0
"TRAFFICWAY_TYPEDIVIDED - W/MEDIAN (NOT RAISED)",-0.0442235011259676
"TRAFFICWAY_TYPEDIVIDED - W/MEDIAN BARRIER",-0.184568247121903
"TRAFFICWAY_TYPEDRIVEWAY",0.534964023539809
"TRAFFICWAY_TYPEFIVE POINT, OR MORE",0
"TRAFFICWAY_TYPEFOUR WAY",-0.060655112659076
"TRAFFICWAY_TYPEL-INTERSECTION",0
"TRAFFICWAY_TYPENOT DIVIDED",0
"TRAFFICWAY_TYPENOT REPORTED",0
"TRAFFICWAY_TYPEONE-WAY",0.155668573513394
"TRAFFICWAY_TYPEOTHER",0.178522757478516
"TRAFFICWAY_TYPEPARKING LOT",0.748842976818139
"TRAFFICWAY_TYPERAMP",0
"TRAFFICWAY_TYPEROUNDABOUT",0
"TRAFFICWAY_TYPET-INTERSECTION",0
"TRAFFICWAY_TYPETRAFFIC ROUTE",0
"TRAFFICWAY_TYPEUNKNOWN",0.0864722630112643
"TRAFFICWAY_TYPEUNKNOWN INTERSECTION TYPE",0
"TRAFFICWAY_TYPEY-INTERSECTION",0
"LANE_CNTNARROW",0.00880659961593766
"LANE_CNTNOT_APPLICABLE",0
"LANE_CNTWIDE",0
"ALIGNMENTCURVE ON HILLCREST",0
"ALIGNMENTCURVE, LEVEL",-0.0253833881480366
"ALIGNMENTSTRAIGHT AND LEVEL",0.198037781885059
"ALIGNMENTSTRAIGHT ON GRADE",0
"ALIGNMENTSTRAIGHT ON HILLCREST",0
"ROADWAY_SURFACE_CONDICE",0
"ROADWAY_SURFACE_CONDOTHER",0
"ROADWAY_SURFACE_CONDSAND, MUD, DIRT",0
"ROADWAY_SURFACE_CONDSNOW OR SLUSH",0.0992159591890176
